rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1177/16878140211004034,A hybrid control strategy for grinding and polishing robot based on adaptive impedance control,2021,Advances in Mechanical Engineering,https://doi.org/10.1177/16878140211004034,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.22214/ijraset.2026.79103,Adaptive Admittance-Impedance Switching Control for Safe Mobile Manipulation: A Door Opening Application with Predictive Anti-Slip Logic,2026,International Journal for Research in Applied Science and Engineering Technology,https://doi.org/10.22214/ijraset.2026.79103,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1177/027836499701600107,Force Tracking in Impedance Control,1997,The International Journal of Robotics Research,https://doi.org/10.1177/027836499701600107,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1108/ir-09-2019-0191,Smooth adaptive hybrid impedance control for robotic contact force tracking in dynamic environments,2020,Industrial Robot: the international journal of robotics research and application,https://doi.org/10.1108/ir-09-2019-0191,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1115/dscc2015-9794,Stable Robust Adaptive Impedance Control of a Prosthetic Leg,2015,Volume 1: Adaptive and Intelligent Systems Control; Advances in Control Design Methods; Advances in Non-Linear and Optimal Control; Advances in Robotics; Advances in Wind Energy Systems; Aerospace Applications; Aerospace Power Optimization; Assistive Robotics; Automotive 2: Hybrid Electric Vehicles; Automotive 3: Internal Combustion Engines; Automotive Engine Control; Battery Management; Bio Engineering Applications; Biomed and Neural Systems; Connected Vehicles; Control of Robotic Systems,https://doi.org/10.1115/dscc2015-9794,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1016/j.robot.2018.01.009,Adaptive variable impedance control for dynamic contact force tracking in uncertain environment,2018,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2018.01.009,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1109/iros47612.2022.9981728,Passivity-Based Skill Motion Learning in Stiffness-Adaptive Unified Force-Impedance Control,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros47612.2022.9981728,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1115/dscc2020-3296,Adaptive Impedance Control for the Haptic Shared Driving Task Based on Nonlinear MPC,2020,Volume 1: Adaptive/Intelligent Sys. Control; Driver Assistance/Autonomous Tech.; Control Design Methods; Nonlinear Control; Robotics; Assistive/Rehabilitation Devices; Biomedical/Neural Systems; Building Energy Systems; Connected Vehicle Systems; Control/Estimation of Energy Systems; Control Apps.; Smart Buildings/Microgrids; Education; Human-Robot Systems; Soft Mechatronics/Robotic Components/Systems; Energy/Power Systems; Energy Storage; Estimation/Identification; Vehicle Efficiency/Emissions,https://doi.org/10.1115/dscc2020-3296,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/lra.2021.3066974,Bilateral Teleoperation With Adaptive Impedance Control for Contact Tasks,2021,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2021.3066974,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.11591/eei.v14i4.9487,Adaptive fuzzy sliding-mode control for robot manipulator with uncertain model and external disturbance,2025,Bulletin of Electrical Engineering and Informatics,https://doi.org/10.11591/eei.v14i4.9487,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.1109/lra.2025.3568570,A Novel Robust Adaptive Impedance Control Scheme for Contact Force Tracking With Unknown Environment,2025,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3568570,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1109/lra.2023.3302616,Nonlinear Subsystem-Based Adaptive Impedance Control of Physical Human-Robot-Environment Interaction in Contact-Rich Tasks,2023,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2023.3302616,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.3390/robotics10010032,Adaptive Position/Force Control of a Robotic Manipulator in Contact with a Flexible and Uncertain Environment,2021,Robotics,https://doi.org/10.3390/robotics10010032,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.1109/lra.2021.3139675,Unified Method for Task-Space Motion/Force/Impedance Control of Manipulator With Unknown Contact Reaction Strategy,2022,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2021.3139675,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1109/icra48506.2021.9561886,Adaptive stiffness estimation impedance control for achieving sustained contact in aerial manipulation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra48506.2021.9561886,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1177/00202940231223104,The nonlinear model reference adaptive impedance control for underwater manipulator operation objects in bilateral teleoperation system,2024,Measurement and Control,https://doi.org/10.1177/00202940231223104,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1109/rcar58764.2023.10249344,Improved Adaptive Variable Impedance Control for Contact Force Tracking,2023,2023 IEEE International Conference on Real-time Computing and Robotics (RCAR),https://doi.org/10.1109/rcar58764.2023.10249344,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.34133/cbsystems.0099,Impedance Sliding-Mode Control Based on Stiffness Scheduling for Rehabilitation Robot Systems,2024,Cyborg and Bionic Systems,https://doi.org/10.34133/cbsystems.0099,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.1109/tcst.2021.3107483,Impedance Learning-Based Adaptive Control for Human–Robot Interaction,2022,IEEE Transactions on Control Systems Technology,https://doi.org/10.1109/tcst.2021.3107483,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.1016/j.automatica.2022.110232,Adaptive hybrid impedance control for dual-arm cooperative manipulation with object uncertainties,2022,Automatica,https://doi.org/10.1016/j.automatica.2022.110232,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.1016/j.rcim.2018.05.003,Adaptive robust control and admittance control for contact-driven robotic surface conditioning,2018,Robotics and Computer-Integrated Manufacturing,https://doi.org/10.1016/j.rcim.2018.05.003,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.1109/itnec52019.2021.9586992,Research on Contact Force Control of Grinding Robot based on Adaptive Impedance Control,2021,"2021 IEEE 5th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)",https://doi.org/10.1109/itnec52019.2021.9586992,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.20517/ir.2026.06,Model predictive tracking control based on adaptive sliding mode constraints for unmanned underwater vehicles,2026,Intelligence & Robotics,https://doi.org/10.20517/ir.2026.06,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.1109/icras52289.2021.9476431,Research on Robot Contact Force Control Based on Adaptive Impedance Control,2021,2021 5th International Conference on Robotics and Automation Sciences (ICRAS),https://doi.org/10.1109/icras52289.2021.9476431,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.1080/01691864.2025.2599949,On the contact dynamics and adaptive fuzzy sliding mode impedance control for 4-PS parallel mechanism with model uncertainties and external disturbances,2026,Advanced Robotics,https://doi.org/10.1080/01691864.2025.2599949,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1016/j.robot.2026.105559,Kinematic analysis and optimized self-adaptive impedance control of a compliant underactuated gripper featuring contact-aided flexure hinges,2026,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2026.105559,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1109/cis-ram61939.2024.10672647,Confidence-Driven Adaptive Optimal Impedance Control Base on Ultrasound Robot System,2024,"2024 IEEE International Conference on Cybernetics and Intelligent Systems (CIS) and IEEE International Conference on Robotics, Automation and Mechatronics (RAM)",https://doi.org/10.1109/cis-ram61939.2024.10672647,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.3390/electronics13193903,Robust Adaptive Sliding Mode Control Using Stochastic Gradient Descent for Robot Arm Manipulator Trajectory Tracking,2024,Electronics,https://doi.org/10.3390/electronics13193903,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.1108/ir-04-2014-0327,Active interaction control applied to a lower limb rehabilitation robot by using EMG recognition and impedance model,2014,Industrial Robot: An International Journal,https://doi.org/10.1108/ir-04-2014-0327,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1109/tcyb.2018.2838573,Adaptive Fuzzy Control for Coordinated Multiple Robots With Constraint Using Impedance Learning,2019,IEEE Transactions on Cybernetics,https://doi.org/10.1109/tcyb.2018.2838573,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.1002/rob.22169,Position‐based force tracking adaptive impedance control strategy for robot grinding complex surfaces system,2023,Journal of Field Robotics,https://doi.org/10.1002/rob.22169,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.3390/app11062613,Composite Error-Based Intelligent Adaptive Sliding Mode Control for Uncertain Bilaterally Symmetrical Hybrid Robot with Variational Desired Trajectories,2021,Applied Sciences,https://doi.org/10.3390/app11062613,Addresses impedance control and robot foundation models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Adaptive impedance tokens keeps action-critical alternatives explicit until a physical observation collapses them.
